location_id,company_id,name,address,latitude,longitude,employees
1,1,TechNova HQ,"123 Innovation Drive, San Francisco, CA 94105",37.7749,-122.4194,500
2,1,TechNova East Coast Office,"456 Tech Avenue, New York, NY 10001",40.7128,-74.0060,250
3,1,TechNova Midwest R&D Center,"789 Research Park, Chicago, IL 60601",41.8781,-87.6298,200
4,1,TechNova Southern Hub,"101 Digital Lane, Austin, TX 78701",30.2672,-97.7431,150
5,1,TechNova Northwest Branch,"202 Rainy Drive, Seattle, WA 98101",47.6062,-122.3321,100
6,2,GreenLeaf Main Office,"456 Sustainability Ave, Portland, OR 97201",45.5155,-122.6789,300
7,2,GreenLeaf East Coast Center,"789 Eco Boulevard, Boston, MA 02108",42.3601,-71.0589,150
8,2,GreenLeaf Southern Facility,"101 Green Street, Atlanta, GA 30303",33.7490,-84.3880,100
9,2,GreenLeaf Midwest Branch,"202 Renewable Road, Minneapolis, MN 55401",44.9778,-93.2650,75
10,2,GreenLeaf Southwest Operation,"303 Solar Lane, Phoenix, AZ 85001",33.4484,-112.0740,50
11,3,Global Connections HQ,"789 International Blvd, New York, NY 10001",40.7128,-74.0060,600
12,3,Global Connections West Coast,"555 Pacific Highway, Los Angeles, CA 90001",34.0522,-118.2437,300
13,3,Global Connections Midwest,"444 Heartland Street, Chicago, IL 60601",41.8781,-87.6298,250
14,3,Global Connections South,"333 Peachtree Road, Atlanta, GA 30303",33.7490,-84.3880,200
15,3,Global Connections Mountain,"222 Mile High Avenue, Denver, CO 80202",39.7392,-104.9903,150
16,4,Quantum Dynamics Main Lab,"101 Particle Lane, Chicago, IL 60601",41.8781,-87.6298,400
17,4,Quantum Dynamics West Facility,"202 Quantum Drive, San Jose, CA 95110",37.3382,-121.8863,250
18,4,Quantum Dynamics East Center,"303 Relativity Road, Cambridge, MA 02138",42.3736,-71.1097,200
19,4,Quantum Dynamics South Lab,"404 Neutrino Avenue, Houston, TX 77001",29.7604,-95.3698,150
20,4,Quantum Dynamics Northwest Branch,"505 String Theory Street, Seattle, WA 98101",47.6062,-122.3321,100
21,5,Eco Builders Headquarters,"202 Green Street, Seattle, WA 98101",47.6062,-122.3321,350
22,5,Eco Builders East Coast Office,"303 Sustainable Avenue, New York, NY 10001",40.7128,-74.0060,200
23,5,Eco Builders Midwest Center,"404 Eco Lane, Chicago, IL 60601",41.8781,-87.6298,150
24,5,Eco Builders Southern Branch,"505 Green Tech Road, Miami, FL 33101",25.7617,-80.1918,100
25,5,Eco Builders Southwest Facility,"606 Solar Panel Drive, Phoenix, AZ 85001",33.4484,-112.0740,75
26,6,DataStream Analytics HQ,"303 Binary Road, Austin, TX 78701",30.2672,-97.7431,450
27,6,DataStream West Coast Center,"404 Silicon Valley Way, San Francisco, CA 94105",37.7749,-122.4194,300
28,6,DataStream East Coast Hub,"505 Data Drive, New York, NY 10001",40.7128,-74.0060,250
